id,cat,subcat,maintenance,dwh_create_date
AC_BR,Accessories,Bike Racks,Yes,46:40.3
AC_BS,Accessories,Bike Stands,No,46:40.3
AC_BC,Accessories,Bottles and Cages,No,46:40.3
AC_CL,Accessories,Cleaners,Yes,46:40.3
AC_FE,Accessories,Fenders,No,46:40.3
AC_HE,Accessories,Helmets,Yes,46:40.3
AC_HP,Accessories,Hydration Packs,No,46:40.3
AC_LI,Accessories,Lights,Yes,46:40.3
AC_LO,Accessories,Locks,Yes,46:40.3
AC_PA,Accessories,Panniers,No,46:40.3
AC_PU,Accessories,Pumps,Yes,46:40.3
AC_TT,Accessories,Tires and Tubes,Yes,46:40.3
BI_MB,Bikes,Mountain Bikes,Yes,46:40.3
BI_RB,Bikes,Road Bikes,Yes,46:40.3
BI_TB,Bikes,Touring Bikes,Yes,46:40.3
CL_BS,Clothing,Bib-Shorts,No,46:40.3
CL_CA,Clothing,Caps,No,46:40.3
CL_GL,Clothing,Gloves,No,46:40.3
CL_JE,Clothing,Jerseys,No,46:40.3
CL_SH,Clothing,Shorts,No,46:40.3
CL_SO,Clothing,Socks,No,46:40.3
CL_TI,Clothing,Tights,No,46:40.3
CL_VE,Clothing,Vests,No,46:40.3
CO_BB,Components,Bottom Brackets,Yes,46:40.3
CO_BR,Components,Brakes,Yes,46:40.3
CO_CH,Components,Chains,Yes,46:40.3
CO_CS,Components,Cranksets,Yes,46:40.3
CO_DE,Components,Derailleurs,Yes,46:40.3
CO_FO,Components,Forks,Yes,46:40.3
CO_HB,Components,Handlebars,No,46:40.3
CO_HS,Components,Headsets,No,46:40.3
CO_MF,Components,Mountain Frames,Yes,46:40.3
CO_PD,Components,Pedals,No,46:40.3
CO_RF,Components,Road Frames,Yes,46:40.3
CO_SA,Components,Saddles,No,46:40.3
CO_TF,Components,Touring Frames,Yes,46:40.3
CO_WH,Components,Wheels,Yes,46:40.3
